,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
11220,-lt,407,1.0,0.7458179416227793,language,0.6406168903211624,0.06337307448558013
11221,-lt,407,1.0,0.5887880551362757,language,0.6406168903211624,0.03679655850388865
11222,-lt,407,1.0,0.4383484439473184,language,0.763304013008807,0.16862475909394875
11223,-lt,407,1.0,0.18826147596458698,language,0.772383940664378,0.18826147596458698
11224,-lt,407,1.0,0.31924920137494217,language,0.8572459250754483,0.26326220748787893
11225,-lt,407,1.0,0.4604464727949784,language,1.0,1.0
11226,-lt,407,1.0,0.6785228161736139,language,0.6406168903211624,0.0672224346599328
11227,-lt,407,1.0,0.7318008895428009,language,0.6406168903211624,0.03474390827813502
11228,-lt,407,1.0,0.6074798378277466,language,0.6406168903211624,0.07817546072328972
11229,-lt,407,1.0,0.3021962106578057,language,0.9831539376655027,0.4068722481355026
11230,-lt,407,1.0,1.0,language,1.0,1.0
11231,-lt,407,1.0,1.0,language,1.0,1.0
11232,-lt,407,1.0,0.25051785112419045,language,0.8572459250754483,0.26867533306964214
11233,-lt,407,1.0,0.07871963780048016,language,0.6406168903211624,0.07871963780048016
11234,-lt,407,1.0,0.7379861827163297,language,0.763304013008807,0.17697557727916452
11235,-lt,407,1.0,0.7352200593042728,language,0.6406168903211624,0.08195915678261796
11236,-lt,407,1.0,0.27465533547912024,language,0.7473261860149696,0.14882271238214692
11237,-lt,407,1.0,0.2967348086645286,language,0.8621777092503567,0.2967348086645286
11238,-lt,407,1.0,0.44182408343541224,language,1.0,0.44182408343541224
11239,-lt,407,1.0,1.0,language,1.0,1.0
11240,-lt,407,1.0,0.18593160131482206,language,0.7698021786144158,0.18593160131482206
11241,-lt,407,1.0,0.07759569832997856,language,0.6406168903211624,0.07759569832997856
11242,-lt,407,1.0,0.16385901647884543,language,0.763304013008807,0.16385901647884543
11243,-lt,407,1.0,1.0,language,1.0,1.0
11244,-lt,407,1.0,1.0,language,1.0,1.0
11245,-lt,407,1.0,1.0,language,1.0,1.0
11246,-lt,407,1.0,1.0,language,1.0,1.0
11247,-lt,407,1.0,1.0,language,1.0,1.0
11248,-lt,407,1.0,1.0,language,1.0,1.0
11249,-lt,407,1.0,0.24524219507070505,language,0.8476068048266812,0.24524219507070505
11250,-lt,407,1.0,1.0,language,1.0,1.0
11251,-lt,407,1.0,1.0,language,1.0,1.0
11252,-lt,407,1.0,1.0,language,1.0,1.0
11253,-lt,407,1.0,1.0,language,1.0,1.0
11254,-lt,407,1.0,1.0,language,1.0,1.0
11255,-lt,407,1.0,1.0,language,1.0,1.0
11256,-lt,407,1.0,1.0,language,1.0,1.0
11257,-lt,407,1.0,0.8384578225987751,language,1.0,1.0
11258,-lt,407,1.0,1.0,language,1.0,1.0
