,perf,subjects,Network,Model
106,0.03743654934786171,3,language,GPT2XLU-mp
107,0.04682220944637083,3,language,GPT2XLU-mp
108,0.046718934304572454,4,language,GPT2XLU-mp
109,0.000732109648404311,4,language,GPT2XLU-mp
110,-0.022257437041042216,4,language,GPT2XLU-mp
111,0.05163999043947372,4,language,GPT2XLU-mp
112,0.009470448956893928,4,language,GPT2XLU-mp
113,0.033746350294380355,4,language,GPT2XLU-mp
114,0.018437623726997643,4,language,GPT2XLU-mp
115,0.03570480230918811,4,language,GPT2XLU-mp
116,0.03698586325462898,4,language,GPT2XLU-mp
117,-0.03538208492894805,4,language,GPT2XLU-mp
118,0.03659457674780988,4,language,GPT2XLU-mp
119,0.040276128155448274,4,language,GPT2XLU-mp
120,0.14474799633484992,0,language,GPT2XLU-sp
121,0.03800696736633089,0,language,GPT2XLU-sp
122,0.10518436420341573,0,language,GPT2XLU-sp
123,0.17920251781867655,0,language,GPT2XLU-sp
124,0.10924129320960514,0,language,GPT2XLU-sp
125,0.1201000113994704,0,language,GPT2XLU-sp
126,-0.022445125176582793,0,language,GPT2XLU-sp
127,0.06703194352507022,0,language,GPT2XLU-sp
128,0.18381193464116558,0,language,GPT2XLU-sp
129,0.12091926657699,0,language,GPT2XLU-sp
130,0.11920115110068616,0,language,GPT2XLU-sp
131,0.033856239005855035,0,language,GPT2XLU-sp
132,0.05409395973730913,1,language,GPT2XLU-sp
133,0.08339953559646567,1,language,GPT2XLU-sp
134,0.02405365086326867,1,language,GPT2XLU-sp
135,0.08834289669931791,1,language,GPT2XLU-sp
136,-0.05011517666212093,1,language,GPT2XLU-sp
137,0.027894919942788476,1,language,GPT2XLU-sp
138,0.0607479238356472,1,language,GPT2XLU-sp
139,0.023801777640223776,1,language,GPT2XLU-sp
140,0.13033805644425528,1,language,GPT2XLU-sp
141,0.018354161086244415,1,language,GPT2XLU-sp
142,0.02903919385152136,1,language,GPT2XLU-sp
143,-0.015389153596458982,1,language,GPT2XLU-sp
144,0.09716900489156047,2,language,GPT2XLU-sp
145,0.006388075340277766,2,language,GPT2XLU-sp
146,0.04235683602326974,2,language,GPT2XLU-sp
147,0.03860336254924519,2,language,GPT2XLU-sp
148,0.054522543891084393,2,language,GPT2XLU-sp
149,0.03468268929262859,2,language,GPT2XLU-sp
150,0.12066830377510382,2,language,GPT2XLU-sp
151,0.008544560501922937,2,language,GPT2XLU-sp
152,-0.021937691603745434,2,language,GPT2XLU-sp
153,0.1624057348304629,2,language,GPT2XLU-sp
154,0.04512086054843376,2,language,GPT2XLU-sp
155,-0.006304414964768057,2,language,GPT2XLU-sp
156,0.02082478153228422,3,language,GPT2XLU-sp
157,0.12153682234349646,3,language,GPT2XLU-sp
158,0.16807673135401052,3,language,GPT2XLU-sp
159,0.0878286881304426,3,language,GPT2XLU-sp
160,0.052009178465160136,3,language,GPT2XLU-sp
161,0.0056861818523302075,3,language,GPT2XLU-sp
162,-0.049536021830439834,3,language,GPT2XLU-sp
163,0.10138821878864093,3,language,GPT2XLU-sp
164,0.04032972819691958,3,language,GPT2XLU-sp
165,-0.03660440043400755,3,language,GPT2XLU-sp
166,0.010654729736328505,3,language,GPT2XLU-sp
167,0.07142731950202119,3,language,GPT2XLU-sp
168,-0.0014593414167450192,4,language,GPT2XLU-sp
169,0.012549426994291225,4,language,GPT2XLU-sp
170,0.003061633896999183,4,language,GPT2XLU-sp
171,0.04155762478438589,4,language,GPT2XLU-sp
172,-0.017110318227331778,4,language,GPT2XLU-sp
173,0.05359449091073998,4,language,GPT2XLU-sp
174,0.0052405048067356574,4,language,GPT2XLU-sp
175,-0.008812030782277347,4,language,GPT2XLU-sp
176,0.01189523895061484,4,language,GPT2XLU-sp
177,-0.10967601572816013,4,language,GPT2XLU-sp
178,0.06275911012048194,4,language,GPT2XLU-sp
179,0.03100896821789547,4,language,GPT2XLU-sp
0,0.15003795819954746,0,language,Simple
1,0.1147469204804139,0,language,Simple
2,0.16638868299099507,0,language,Simple
3,0.24936967377860242,0,language,Simple
4,0.10282533576649233,0,language,Simple
5,0.15984390426676143,0,language,Simple
6,0.052772932079134804,0,language,Simple
