,fe,subject,pval,pval_LLM_sig,pval_orig,shuffled,network
0,-lt,0,0.9805087332580539,0.5055198351339736,0.5998561470319088,shuffled,language
1,-lt,0,0.9805087332580539,0.6011912499111248,0.920771770561487,shuffled,language
2,-lt,0,0.9805087332580539,0.6011912499111248,0.9426348103183453,shuffled,language
3,-lt,0,0.9805087332580539,0.36379129095320817,0.9659577993899351,shuffled,language
4,-lt,0,0.9805087332580539,0.6011912499111248,0.9457216455129921,shuffled,language
5,-lt,0,0.9805087332580539,0.6011912499111248,0.7658021470131866,shuffled,language
6,-lt,0,0.9805087332580539,1.0,0.7175164437771862,shuffled,language
7,-lt,0,0.9805087332580539,0.6028325116415921,0.9805087332580539,shuffled,language
8,-lt,0,0.9805087332580539,1.0,0.8097705504290847,shuffled,language
9,-lt,0,0.9805087332580539,0.47457494739374095,0.8151715372553858,shuffled,language
10,-lt,0,0.9805087332580539,0.6302730786343897,0.9417866804997265,shuffled,language
11,-lt,0,0.9805087332580539,1.0,0.1644358318762713,shuffled,language
12,-lt,1,0.9972335004308791,1.0,0.49318225278197103,shuffled,language
13,-lt,1,0.9972335004308791,1.0,0.7770479040323357,shuffled,language
14,-lt,1,0.9972335004308791,1.0,0.9622535091954545,shuffled,language
15,-lt,1,0.9972335004308791,1.0,0.7941473504439763,shuffled,language
16,-lt,1,0.9972335004308791,1.0,0.5622205979701961,shuffled,language
17,-lt,1,0.9972335004308791,1.0,0.25572979481886526,shuffled,language
18,-lt,1,0.9972335004308791,1.0,0.9531027997366953,shuffled,language
19,-lt,1,0.9972335004308791,1.0,0.8315014444389759,shuffled,language
20,-lt,1,0.9972335004308791,1.0,0.9962479623144784,shuffled,language
21,-lt,1,0.9972335004308791,1.0,0.7077698584415455,shuffled,language
22,-lt,1,0.9972335004308791,1.0,0.9902761522432231,shuffled,language
23,-lt,1,0.9972335004308791,1.0,0.9972335004308791,shuffled,language
24,-lt,2,0.9281652226749234,0.1146863616781319,0.8718489997816031,shuffled,language
25,-lt,2,0.9281652226749234,0.38589127828403647,0.8415404421254091,shuffled,language
26,-lt,2,0.9281652226749234,0.1146863616781319,0.12276593058010517,shuffled,language
27,-lt,2,0.9281652226749234,1.0,0.5467236784558615,shuffled,language
28,-lt,2,0.9281652226749234,1.0,0.5985174182244276,shuffled,language
29,-lt,2,0.9281652226749234,1.0,0.8402474589306811,shuffled,language
30,-lt,2,0.9281652226749234,0.9690741869775547,0.8381848172111208,shuffled,language
31,-lt,2,0.9281652226749234,1.0,0.8678622289653325,shuffled,language
32,-lt,2,0.9281652226749234,0.1146863616781319,0.6777652502485856,shuffled,language
33,-lt,2,0.9281652226749234,0.03559728216759251,0.9281652226749234,shuffled,language
34,-lt,2,0.9281652226749234,0.41521498742154883,0.918234385326187,shuffled,language
35,-lt,2,0.9281652226749234,1.0,0.8973220016529884,shuffled,language
36,-lt,3,0.9958948483723389,1.0,0.889863844227035,shuffled,language
