,perf,Model,Shuffled,layer_num,Exp
413,0.3169025060462841,GPT2-XL-mp,shuffled,39,Combined
416,0.32030463322779623,GPT2-XL-mp,shuffled,40,Combined
419,0.32511440724971297,GPT2-XL-mp,shuffled,41,Combined
422,0.32724755652583115,GPT2-XL-mp,shuffled,42,Combined
425,0.33035487389023005,GPT2-XL-mp,shuffled,43,Combined
428,0.33343358404171974,GPT2-XL-mp,shuffled,44,Combined
431,0.3380678127642206,GPT2-XL-mp,shuffled,45,Combined
434,0.3396495131128143,GPT2-XL-mp,shuffled,46,Combined
437,0.341551354100622,GPT2-XL-mp,shuffled,47,Combined
440,0.34407473241891934,GPT2-XL-mp,shuffled,48,Combined
590,0.23848955482883366,GPT2-XL-sp,shuffled,0,Combined
593,0.32083660038511413,GPT2-XL-sp,shuffled,1,Combined
596,0.32261522916613056,GPT2-XL-sp,shuffled,2,Combined
599,0.31938498399322457,GPT2-XL-sp,shuffled,3,Combined
602,0.3109211767908978,GPT2-XL-sp,shuffled,4,Combined
605,0.3081455842251076,GPT2-XL-sp,shuffled,5,Combined
608,0.300603714798033,GPT2-XL-sp,shuffled,6,Combined
611,0.2952172183183013,GPT2-XL-sp,shuffled,7,Combined
614,0.2858637804930333,GPT2-XL-sp,shuffled,8,Combined
617,0.28253599713189076,GPT2-XL-sp,shuffled,9,Combined
620,0.27381525600769585,GPT2-XL-sp,shuffled,10,Combined
623,0.27114222211425903,GPT2-XL-sp,shuffled,11,Combined
626,0.2671202917237955,GPT2-XL-sp,shuffled,12,Combined
629,0.2657994544955989,GPT2-XL-sp,shuffled,13,Combined
632,0.2621128802608409,GPT2-XL-sp,shuffled,14,Combined
635,0.26013842415700317,GPT2-XL-sp,shuffled,15,Combined
638,0.2571097386560345,GPT2-XL-sp,shuffled,16,Combined
641,0.25312219009024284,GPT2-XL-sp,shuffled,17,Combined
644,0.2492954558444663,GPT2-XL-sp,shuffled,18,Combined
647,0.24706857065176427,GPT2-XL-sp,shuffled,19,Combined
650,0.24767707463341954,GPT2-XL-sp,shuffled,20,Combined
653,0.24822320390141658,GPT2-XL-sp,shuffled,21,Combined
656,0.2525514782177658,GPT2-XL-sp,shuffled,22,Combined
659,0.25540686527019957,GPT2-XL-sp,shuffled,23,Combined
662,0.25702796849569376,GPT2-XL-sp,shuffled,24,Combined
665,0.2606431580829957,GPT2-XL-sp,shuffled,25,Combined
668,0.26646493601837573,GPT2-XL-sp,shuffled,26,Combined
671,0.2700834577411343,GPT2-XL-sp,shuffled,27,Combined
674,0.27203415212526333,GPT2-XL-sp,shuffled,28,Combined
677,0.27553628655794,GPT2-XL-sp,shuffled,29,Combined
680,0.281632806534338,GPT2-XL-sp,shuffled,30,Combined
683,0.28583485953984045,GPT2-XL-sp,shuffled,31,Combined
686,0.29414048178973523,GPT2-XL-sp,shuffled,32,Combined
689,0.29888392419993953,GPT2-XL-sp,shuffled,33,Combined
692,0.30264018902214385,GPT2-XL-sp,shuffled,34,Combined
695,0.3066222554444486,GPT2-XL-sp,shuffled,35,Combined
698,0.3103897977972789,GPT2-XL-sp,shuffled,36,Combined
701,0.3137860938518392,GPT2-XL-sp,shuffled,37,Combined
704,0.3141867278097513,GPT2-XL-sp,shuffled,38,Combined
707,0.3208612276965185,GPT2-XL-sp,shuffled,39,Combined
710,0.3244338795608709,GPT2-XL-sp,shuffled,40,Combined
713,0.3293780795212302,GPT2-XL-sp,shuffled,41,Combined
716,0.3315832870391243,GPT2-XL-sp,shuffled,42,Combined
719,0.3346220579531831,GPT2-XL-sp,shuffled,43,Combined
722,0.33733996724944737,GPT2-XL-sp,shuffled,44,Combined
725,0.3416115828499417,GPT2-XL-sp,shuffled,45,Combined
728,0.3432389934272306,GPT2-XL-sp,shuffled,46,Combined
731,0.34463463923175225,GPT2-XL-sp,shuffled,47,Combined
734,0.3477834650388968,GPT2-XL-sp,shuffled,48,Combined
