,perf,Model,Shuffled,layer_num,Exp
430,0.11793933518423004,GPT2-XL-mp,shuffled,45,384
433,0.11958298309986687,GPT2-XL-mp,shuffled,46,384
436,0.12085165557629847,GPT2-XL-mp,shuffled,47,384
439,0.1200934680132061,GPT2-XL-mp,shuffled,48,384
589,0.06146550122041605,GPT2-XL-sp,shuffled,0,384
592,0.10831627527127052,GPT2-XL-sp,shuffled,1,384
595,0.10665108693109684,GPT2-XL-sp,shuffled,2,384
598,0.10464745122318281,GPT2-XL-sp,shuffled,3,384
601,0.10032695554151501,GPT2-XL-sp,shuffled,4,384
604,0.09856392153489295,GPT2-XL-sp,shuffled,5,384
607,0.09373998602700624,GPT2-XL-sp,shuffled,6,384
610,0.08957117584618365,GPT2-XL-sp,shuffled,7,384
613,0.08429110622971271,GPT2-XL-sp,shuffled,8,384
616,0.08215834008584545,GPT2-XL-sp,shuffled,9,384
619,0.07732503850073152,GPT2-XL-sp,shuffled,10,384
622,0.07549241856548575,GPT2-XL-sp,shuffled,11,384
625,0.07232033684890152,GPT2-XL-sp,shuffled,12,384
628,0.07113461772847322,GPT2-XL-sp,shuffled,13,384
631,0.06965583892512342,GPT2-XL-sp,shuffled,14,384
634,0.06862220183640333,GPT2-XL-sp,shuffled,15,384
637,0.06640678127326212,GPT2-XL-sp,shuffled,16,384
640,0.06411889295332833,GPT2-XL-sp,shuffled,17,384
643,0.06264965506589901,GPT2-XL-sp,shuffled,18,384
646,0.061514059262495584,GPT2-XL-sp,shuffled,19,384
649,0.06167875514199509,GPT2-XL-sp,shuffled,20,384
652,0.06204298028673046,GPT2-XL-sp,shuffled,21,384
655,0.06244036269304582,GPT2-XL-sp,shuffled,22,384
658,0.06320218318291901,GPT2-XL-sp,shuffled,23,384
661,0.06408699174736507,GPT2-XL-sp,shuffled,24,384
664,0.06587196143550877,GPT2-XL-sp,shuffled,25,384
667,0.06871266278130639,GPT2-XL-sp,shuffled,26,384
670,0.0708915707662317,GPT2-XL-sp,shuffled,27,384
673,0.07258919561574223,GPT2-XL-sp,shuffled,28,384
676,0.07432799898806487,GPT2-XL-sp,shuffled,29,384
679,0.07797120091499246,GPT2-XL-sp,shuffled,30,384
682,0.07964461036842169,GPT2-XL-sp,shuffled,31,384
685,0.08415097987578991,GPT2-XL-sp,shuffled,32,384
688,0.08792963932921888,GPT2-XL-sp,shuffled,33,384
691,0.08975280951174565,GPT2-XL-sp,shuffled,34,384
694,0.09191187278644328,GPT2-XL-sp,shuffled,35,384
697,0.09501574092107411,GPT2-XL-sp,shuffled,36,384
700,0.0972780531071949,GPT2-XL-sp,shuffled,37,384
703,0.09816037723072417,GPT2-XL-sp,shuffled,38,384
706,0.1034631782804801,GPT2-XL-sp,shuffled,39,384
709,0.10580017764572089,GPT2-XL-sp,shuffled,40,384
712,0.10952569458525051,GPT2-XL-sp,shuffled,41,384
715,0.11142062309229026,GPT2-XL-sp,shuffled,42,384
718,0.11392839547005991,GPT2-XL-sp,shuffled,43,384
721,0.11615996784843949,GPT2-XL-sp,shuffled,44,384
724,0.11923005902876131,GPT2-XL-sp,shuffled,45,384
727,0.12101235623720792,GPT2-XL-sp,shuffled,46,384
730,0.1221179266523559,GPT2-XL-sp,shuffled,47,384
733,0.1207713536783907,GPT2-XL-sp,shuffled,48,384
