,perf,Model,Shuffled,layer_num,Exp
743,0.12303805549018906,GPT2-XL-sp,,2,Combined
746,0.12461317491462413,GPT2-XL-sp,,3,Combined
749,0.12490740099814016,GPT2-XL-sp,,4,Combined
752,0.1278205577687058,GPT2-XL-sp,,5,Combined
755,0.1310610234080009,GPT2-XL-sp,,6,Combined
758,0.13377140241987479,GPT2-XL-sp,,7,Combined
761,0.13483647796214093,GPT2-XL-sp,,8,Combined
764,0.13617398107952944,GPT2-XL-sp,,9,Combined
767,0.13609224938321457,GPT2-XL-sp,,10,Combined
770,0.1391116241432156,GPT2-XL-sp,,11,Combined
773,0.1417840557322155,GPT2-XL-sp,,12,Combined
776,0.14435480481161456,GPT2-XL-sp,,13,Combined
779,0.14523250184875425,GPT2-XL-sp,,14,Combined
782,0.14596609347636127,GPT2-XL-sp,,15,Combined
785,0.14614141348744267,GPT2-XL-sp,,16,Combined
788,0.14486208313252344,GPT2-XL-sp,,17,Combined
791,0.14356688846297677,GPT2-XL-sp,,18,Combined
794,0.14259695696669752,GPT2-XL-sp,,19,Combined
797,0.14142027449395464,GPT2-XL-sp,,20,Combined
800,0.1419948893666001,GPT2-XL-sp,,21,Combined
803,0.14162542142270496,GPT2-XL-sp,,22,Combined
806,0.14196145486079847,GPT2-XL-sp,,23,Combined
809,0.14072583976162958,GPT2-XL-sp,,24,Combined
812,0.14102484441881025,GPT2-XL-sp,,25,Combined
815,0.14041484343233665,GPT2-XL-sp,,26,Combined
818,0.1394051902956435,GPT2-XL-sp,,27,Combined
821,0.1386230714093434,GPT2-XL-sp,,28,Combined
824,0.1396051852323823,GPT2-XL-sp,,29,Combined
827,0.13792793976350787,GPT2-XL-sp,,30,Combined
830,0.1383529611117631,GPT2-XL-sp,,31,Combined
833,0.13723537909584532,GPT2-XL-sp,,32,Combined
836,0.13739480802640033,GPT2-XL-sp,,33,Combined
839,0.1374428273133789,GPT2-XL-sp,,34,Combined
842,0.13621846478706368,GPT2-XL-sp,,35,Combined
845,0.13481811077898484,GPT2-XL-sp,,36,Combined
848,0.1349844776501618,GPT2-XL-sp,,37,Combined
851,0.134404759227639,GPT2-XL-sp,,38,Combined
854,0.1320437664102235,GPT2-XL-sp,,39,Combined
857,0.12944173787185104,GPT2-XL-sp,,40,Combined
860,0.1281315273630475,GPT2-XL-sp,,41,Combined
863,0.12744658548686805,GPT2-XL-sp,,42,Combined
866,0.12598642102638324,GPT2-XL-sp,,43,Combined
869,0.12382344826978875,GPT2-XL-sp,,44,Combined
872,0.12346616440000302,GPT2-XL-sp,,45,Combined
875,0.12228700365366967,GPT2-XL-sp,,46,Combined
878,0.12029283002719726,GPT2-XL-sp,,47,Combined
881,0.1226067963848512,GPT2-XL-sp,,48,Combined
