,fe,subject,pval,pval_LLM_sig,pval_orig,shuffled,network
0,-lt,1,0.22615181117933883,0.015396795553079068,0.13472873857492526,shuffled,language
1,-lt,1,0.9786440008038556,1.0,0.8619203477322328,shuffled,language
2,-lt,1,0.0616412994296654,5.75225681516749e-06,0.01776224214001407,shuffled,language
3,-lt,1,0.09995086923578841,0.00011700742680488077,0.0382790563030679,shuffled,language
4,-lt,1,0.07468451541483177,0.04378057800179793,0.02701354812876894,shuffled,language
5,-lt,1,0.013349210571500772,6.799207133457364e-06,0.0022722060547235357,shuffled,language
6,-lt,1,0.5840419774114538,0.0009963900844760824,0.447351301847071,shuffled,language
7,-lt,1,0.9986941727718903,1.0,0.9986941727718903,shuffled,language
8,-lt,1,0.00885212823436673,0.0006265119219310729,0.0013072771892738539,shuffled,language
9,-lt,1,0.0014804159910374924,0.0002228837702097867,0.00012599285030106318,shuffled,language
10,-lt,1,0.11123971527070999,0.006244909093640326,0.04684385184575176,shuffled,language
11,-lt,1,0.1519527619077382,0.21453314596920572,0.07435986221016976,shuffled,language
12,-lt,1,0.9786440008038556,0.057063110822284976,0.9305557980891769,shuffled,language
13,-lt,1,0.03740303203386181,0.0010927957878229186,0.0071622827298884325,shuffled,language
14,-lt,1,0.20453432219953208,0.006244909093640326,0.11647552086040974,shuffled,language
15,-lt,1,0.13716159672657277,0.004926387294552428,0.06420330059541704,shuffled,language
16,-lt,1,0.5049178003193006,0.11353613910715345,0.3545167534156791,shuffled,language
17,-lt,1,0.5225972792258162,1.0,0.3780490956101649,shuffled,language
18,-lt,1,0.00031228662925761335,6.799207133457364e-06,1.4274354932549107e-05,shuffled,language
19,-lt,1,0.9786440008038556,0.1845542114929398,0.9578217880207948,shuffled,language
20,-lt,1,0.7058792726169884,0.276336772312489,0.5707109012647991,shuffled,language
21,-lt,1,0.9786440008038556,0.015473026072186168,0.8481448535433961,shuffled,language
22,-lt,1,0.04163083904921382,0.0006265119219310729,0.008857625329619962,shuffled,language
23,-lt,1,0.00031228662925761335,8.22063905813018e-06,1.9933189101549788e-05,shuffled,language
24,-lt,1,0.00885212823436673,0.0008240011507707086,0.0013184020774588746,shuffled,language
25,-lt,1,0.0016936323869561351,0.0002970600736888467,0.00018017365818682289,shuffled,language
26,-lt,1,5.659671106210076e-05,8.524110531753728e-06,1.2041853417468246e-06,shuffled,language
27,-lt,1,0.9786440008038556,1.0,0.9372645676849114,shuffled,language
28,-lt,1,0.20132088808577356,0.00031948299749554466,0.10483769674046937,shuffled,language
29,-lt,1,0.0616412994296654,8.559595305184824e-05,0.019092646254308288,shuffled,language
30,-lt,1,0.29776534975936786,0.0990420292317745,0.19006298920810716,shuffled,language
31,-lt,1,0.11123971527070999,0.07474955386105443,0.04733604905136595,shuffled,language
32,-lt,1,0.11671122645362063,0.003719239256329001,0.052147569266511345,shuffled,language
33,-lt,1,0.5882064411654818,0.0019104398881476475,0.4630561345345283,shuffled,language
34,-lt,1,0.0616412994296654,0.0003075571471250604,0.02057767693897585,shuffled,language
35,-lt,1,0.05845302766786508,0.000536755935416565,0.013680495837159913,shuffled,language
36,-lt,1,0.44013370587434575,0.08083830234256656,0.29030095493839825,shuffled,language
37,-lt,1,0.20132088808577356,0.027121088653736126,0.1070855787690285,shuffled,language
38,-lt,1,0.25251002108051707,0.026792837797015686,0.15580405556031907,shuffled,language
39,-lt,1,0.0616412994296654,0.0064843110576992295,0.02098427214626907,shuffled,language
40,-lt,1,0.0616412994296654,0.03176922901873651,0.01942097674181056,shuffled,language
41,-lt,1,0.9786440008038556,0.0820012535212341,0.894501390620635,shuffled,language
42,-lt,1,0.5537869474523653,0.09295400079913362,0.4123945353368679,shuffled,language
43,-lt,1,0.5049178003193006,0.09202318938680192,0.34726343865341824,shuffled,language
44,-lt,1,0.9786440008038556,0.07921829469110551,0.8963143311845259,shuffled,language
45,-lt,1,0.9786440008038556,0.28307252297060614,0.9395795018536784,shuffled,language
46,-lt,1,0.20453432219953208,0.04893833975820697,0.11749844041249716,shuffled,language
47,-lt,2,0.06438049542940351,0.043386506766550294,0.008047561928675439,shuffled,language
48,-lt,2,1.0,0.043386506766550294,0.9996417659608642,shuffled,language
49,-lt,2,0.10780703843440001,0.043386506766550294,0.026951759608600002,shuffled,language
50,-lt,2,1.0,0.612457018564067,0.822594243254619,shuffled,language
51,-lt,2,1.0,0.7114979399142565,0.42703595700568886,shuffled,language
52,-lt,2,1.0,1.0,1.0,shuffled,language
53,-lt,2,1.0,1.0,1.0,shuffled,language
54,-lt,2,1.0,1.0,1.0,shuffled,language
55,-lt,3,2.852851024982691e-07,4.956800593639747e-09,3.16983447220299e-08,shuffled,language
56,-lt,3,0.0005688966060390521,0.00020949877894295595,0.00012642146800867824,shuffled,language
57,-lt,3,0.1768175924853958,0.05165051184326496,0.13752479415530783,shuffled,language
58,-lt,3,0.5549265138604133,0.44292025374667354,0.4932680123203673,shuffled,language
59,-lt,3,1.0,1.0,1.0,shuffled,language
60,-lt,3,0.0022526742848183834,3.262819427790122e-05,0.0007508914282727945,shuffled,language
61,-lt,3,0.02806883843671057,0.00020949877894295595,0.015593799131505872,shuffled,language
62,-lt,3,0.05681485006229303,0.0010616510670721046,0.03787656670819536,shuffled,language
63,-lt,3,0.0034293961364407727,0.0003336968694778101,0.0015241760606403434,shuffled,language
64,-lt,4,0.08493985189332123,0.00014877086914123357,0.03963859755021658,shuffled,language
65,-lt,4,0.14652523673479723,0.07908636259047504,0.0781467929252252,shuffled,language
66,-lt,4,0.6448409765887051,0.1286844637798122,0.5588621797102111,shuffled,language
67,-lt,4,0.022366874818780438,6.977825763070453e-06,0.0029822499758373915,shuffled,language
68,-lt,4,0.06548417244003729,0.0013387490581666262,0.017723264941771726,shuffled,language
69,-lt,4,0.06548417244003729,0.030379883113113237,0.02475406229229542,shuffled,language
70,-lt,4,0.4386925137084318,0.0036847892533629785,0.32170784338618336,shuffled,language
71,-lt,4,0.002202719797994705,0.00046656730877699354,0.00014684798653298033,shuffled,language
72,-lt,4,0.23023575012673617,0.16872724431297914,0.1381414500760417,shuffled,language
73,-lt,4,0.06548417244003729,0.002798816768765824,0.026193668976014918,shuffled,language
74,-lt,4,1.0,1.0,0.9520981659919836,shuffled,language
75,-lt,4,1.0,1.0,1.0,shuffled,language
76,-lt,4,0.5833597286153319,0.16872724431297914,0.46668778289226553,shuffled,language
77,-lt,4,0.06548417244003729,0.00014877086914123357,0.015359719416514345,shuffled,language
78,-lt,4,0.4386925137084318,0.20085507306226333,0.316689741119502,shuffled,language
79,-lt,5,1.0,1.0,0.9876874787210114,shuffled,language
80,-lt,5,0.35533996113169514,0.07817387131512295,0.13818776266232588,shuffled,language
81,-lt,5,1.5312161501605216e-05,1.851979760397774e-06,8.506756389780675e-07,shuffled,language
82,-lt,5,1.0,1.0,0.9623539035803592,shuffled,language
83,-lt,5,0.4145915256357125,0.33167322050857,0.1842629002825389,shuffled,language
84,-lt,5,0.01954609355398731,0.07817387131512295,0.0027502811099658965,shuffled,language
85,-lt,5,0.01954609355398731,0.00010678312617922112,0.0032576822589978852,shuffled,language
86,-lt,5,1.0,1.0,1.0,shuffled,language
87,-lt,5,1.0,1.0,0.8844822730278685,shuffled,language
88,-lt,5,0.6691307443789999,0.5226434746630424,0.33746745599109795,shuffled,language
89,-lt,5,0.8848153957672857,1.0,0.5407205196355634,shuffled,language
90,-lt,5,1.0,1.0,1.0,shuffled,language
91,-lt,5,0.1751291870133843,0.0972939927852135,0.04864699639260675,shuffled,language
92,-lt,5,0.6691307443789999,0.07817387131512295,0.3717393024327777,shuffled,language
93,-lt,5,0.09603108552011293,0.07817387131512295,0.021340241226691762,shuffled,language
94,-lt,5,1.0,1.0,0.9698204411966916,shuffled,language
95,-lt,5,1.0,0.07817387131512295,0.9775368532558074,shuffled,language
96,-lt,5,0.3032614191022306,0.00024385777881545537,0.10108713970074353,shuffled,language
97,-sp,1,0.13251524903758732,0.0022802569376464354,0.06484788782690443,shuffled,language
98,-sp,1,0.9454658926889898,1.0,0.9052333015107349,shuffled,language
99,-sp,1,0.07849332100360715,5.024366677239381e-06,0.026004622147466364,shuffled,language
100,-sp,1,0.07849332100360715,0.00014421715587692053,0.02408238540481596,shuffled,language
101,-sp,1,0.10281129791773698,0.05478149434550937,0.03728042406356772,shuffled,language
102,-sp,1,0.006025141851674002,5.024366677239381e-06,0.0010255560598594045,shuffled,language
103,-sp,1,0.6639852270068913,0.003439477985982769,0.5735820937988925,shuffled,language
104,-sp,1,0.963371144787629,1.0,0.963371144787629,shuffled,language
105,-sp,1,0.00022907870474601027,0.0003931649313394751,1.4622044983787889e-05,shuffled,language
106,-sp,1,0.0003393951596617591,7.996637657606257e-05,2.8884694439298647e-05,shuffled,language
107,-sp,1,0.07849332100360715,0.006085142215665086,0.026721130554419454,shuffled,language
108,-sp,1,0.10427272124180517,0.16243234662429737,0.042152802204134004,shuffled,language
109,-sp,1,0.9104439506789747,0.02697511539718941,0.832959359131828,shuffled,language
110,-sp,1,0.030101731547408975,0.005798345891289673,0.006404623733491271,shuffled,language
111,-sp,1,0.10281129791773698,0.02652768235402882,0.03937453962806948,shuffled,language
112,-sp,1,0.045682548806393684,0.0056295108502400605,0.010691660358943204,shuffled,language
113,-sp,1,0.5819153862854316,0.15403617859357904,0.4457224235377774,shuffled,language
114,-sp,1,0.40751006558601466,1.0,0.2646073154083286,shuffled,language
115,-sp,1,0.00014974886522442317,1.2602853814926566e-05,6.372292137209497e-06,shuffled,language
116,-sp,1,0.9454658926889898,0.25803932200169727,0.8933562816668125,shuffled,language
117,-sp,1,0.40751006558601466,0.5164924494087018,0.26557633991857404,shuffled,language
118,-sp,1,0.40751006558601466,0.008823854729704327,0.2502690174114308,shuffled,language
119,-sp,1,0.009686765605285358,0.0005239169203212577,0.0018549125627142175,shuffled,language
120,-sp,1,4.731167845664971e-05,1.1337676923259507e-06,1.0066314565244618e-06,shuffled,language
121,-sp,1,0.0013429934140335564,0.00013168981663623402,0.00020002029570712542,shuffled,language
122,-sp,1,0.0013429934140335564,0.0005239169203212577,0.000173563005494521,shuffled,language
123,-sp,1,0.0008056030156696531,1.0478018069096766e-05,8.570244847549501e-05,shuffled,language
124,-sp,1,0.963371144787629,0.5304216023784044,0.9469701326226525,shuffled,language
125,-sp,1,0.40751006558601466,0.0004140137622648354,0.27310482545826786,shuffled,language
126,-sp,1,0.11782533355602456,0.000600485604877731,0.05515228379218171,shuffled,language
127,-sp,1,0.6527958236932505,0.10919600781302234,0.5285323561797397,shuffled,language
128,-sp,1,0.11782533355602456,0.035841258671648904,0.0525482832270298,shuffled,language
129,-sp,1,0.07849332100360715,0.0015085230372109458,0.022256359619054627,shuffled,language
130,-sp,1,0.3866149068614884,0.008823854729704327,0.22209792521830185,shuffled,language
131,-sp,1,0.14340151359204287,0.0015085230372109458,0.07627740084683132,shuffled,language
132,-sp,1,0.22532758338151826,0.001378332869813006,0.1246493014450952,shuffled,language
133,-sp,1,0.5647460456176107,0.07595448357764373,0.4205555658854548,shuffled,language
134,-sp,1,0.11782533355602456,0.013007683640274822,0.053165392293884284,shuffled,language
135,-sp,1,0.40751006558601466,0.009966175200468625,0.27745366167558444,shuffled,language
136,-sp,1,0.13408190496985192,0.009434248578514794,0.0684673557292861,shuffled,language
137,-sp,1,0.058351821380293024,0.033734838256578956,0.014898337373691837,shuffled,language
138,-sp,1,0.7398403016678432,0.08456577932478983,0.6611338865967961,shuffled,language
139,-sp,1,0.4911492028576253,0.12971295096972457,0.3448494403042901,shuffled,language
140,-sp,1,0.6527958236932505,0.12971295096972457,0.5208161062294199,shuffled,language
141,-sp,1,0.4946619016067526,0.10919600781302234,0.357840524566587,shuffled,language
142,-sp,1,0.6639852270068913,0.12971295096972457,0.5792211554740967,shuffled,language
143,-sp,1,0.6527958236932505,0.027522575570095593,0.5416816409369526,shuffled,language
144,-sp,2,0.07843686846988375,0.04092610729271916,0.019609217117470937,shuffled,language
145,-sp,2,1.0,0.04092610729271916,0.990630947517779,shuffled,language
146,-sp,2,0.07843686846988375,0.04092610729271916,0.019108891469879968,shuffled,language
147,-sp,2,1.0,1.0,0.9559796538762404,shuffled,language
148,-sp,2,1.0,1.0,1.0,shuffled,language
149,-sp,2,1.0,1.0,1.0,shuffled,language
150,-sp,2,1.0,1.0,1.0,shuffled,language
151,-sp,2,1.0,1.0,1.0,shuffled,language
152,-sp,3,7.776259985574281e-07,3.800605394313135e-09,8.640288872860312e-08,shuffled,language
153,-sp,3,0.0031131924522731797,0.0002103031240632575,0.0010377308174243933,shuffled,language
154,-sp,3,0.2175933382262534,0.03321385156268965,0.16923926306486375,shuffled,language
155,-sp,3,0.28374097041161095,0.23163249232659372,0.25221419592143196,shuffled,language
156,-sp,3,0.44730631655007574,0.44730631655007574,0.44730631655007574,shuffled,language
157,-sp,3,0.0008266492537945902,5.702202397527279e-06,0.0001836998341765756,shuffled,language
158,-sp,3,0.014222193181080617,0.00015700204560947662,0.006320974747146941,shuffled,language
159,-sp,3,0.05328078797354499,0.001379636659716676,0.02960043776308055,shuffled,language
160,-sp,3,0.07927408850975616,0.00015700204560947662,0.05284939233983744,shuffled,language
161,-sp,4,0.5494086300013383,0.00177897914850686,0.3340377669431138,shuffled,language
162,-sp,4,0.10718194069203055,0.02045598567634521,0.021467206264560643,shuffled,language
163,-sp,4,0.7117685392843698,0.08462529442803657,0.6168660673797872,shuffled,language
164,-sp,4,0.15101312178818474,1.1096340658998045e-05,0.050337707262728244,shuffled,language
165,-sp,4,0.3617293908084141,0.00177897914850686,0.16880704904392657,shuffled,language
166,-sp,4,0.1726562082587637,0.09595247337833622,0.06906248330350548,shuffled,language
167,-sp,4,0.5494086300013383,0.005767795825387126,0.31391829512913383,shuffled,language
168,-sp,4,0.021868360849622362,0.007134164499838149,0.0014578907233081574,shuffled,language
169,-sp,4,0.7069800318502728,0.5316466857895568,0.5655840254802182,shuffled,language
170,-sp,4,0.10718194069203055,0.0035163738200356498,0.028581850851208145,shuffled,language
171,-sp,4,1.0,1.0,0.9449746514264749,shuffled,language
172,-sp,4,1.0,1.0,1.0,shuffled,language
173,-sp,4,0.5494086300013383,0.044548612981508945,0.3662724200008922,shuffled,language
174,-sp,4,0.09318009743340369,0.0014336824124330755,0.012424012991120493,shuffled,language
175,-sp,4,0.6734631669522441,0.4013846705584348,0.49387298909831234,shuffled,language
176,-sp,5,1.0,0.25451874137635766,0.9985286106592022,shuffled,language
177,-sp,5,0.27823222800007524,0.1868106771367926,0.10820142200002925,shuffled,language
178,-sp,5,1.085222783554776e-07,5.03425216318936e-06,6.0290154641932e-09,shuffled,language
179,-sp,5,1.0,1.0,0.9554019800554849,shuffled,language
180,-sp,5,0.3523863243266012,0.2562809631466191,0.1566161441451561,shuffled,language
181,-sp,5,0.008562466945741571,0.053348300393660016,0.0014270778242902618,shuffled,language
182,-sp,5,0.0007442578606258979,0.0004824356036048844,8.2695317847322e-05,shuffled,language
183,-sp,5,1.0,1.0,1.0,shuffled,language
184,-sp,5,0.8887692846775213,1.0,0.5925128564516808,shuffled,language
185,-sp,5,0.5487281948884501,0.399832678998527,0.288038020066047,shuffled,language
186,-sp,5,0.7399290502216935,1.0,0.45217886402436824,shuffled,language
187,-sp,5,1.0,1.0,1.0,shuffled,language
188,-sp,5,0.042111118011904404,0.04199666765654328,0.009358026224867646,shuffled,language
