,perf,Model,Shuffled,layer_num,Exp
0,-0.003709421433221374,GPT2-XL,shuffled,0,243
3,0.08781353121722747,GPT2-XL,shuffled,1,243
6,0.1015104612900705,GPT2-XL,shuffled,2,243
9,0.09436305150038787,GPT2-XL,shuffled,3,243
12,0.09441915679844747,GPT2-XL,shuffled,4,243
15,0.0869404584385403,GPT2-XL,shuffled,5,243
18,0.08417151723029997,GPT2-XL,shuffled,6,243
21,0.07829804746781353,GPT2-XL,shuffled,7,243
24,0.07677010474846362,GPT2-XL,shuffled,8,243
27,0.07439421110634466,GPT2-XL,shuffled,9,243
30,0.07336650224640043,GPT2-XL,shuffled,10,243
33,0.07419444866313997,GPT2-XL,shuffled,11,243
36,0.07604695099028098,GPT2-XL,shuffled,12,243
39,0.07109151234857321,GPT2-XL,shuffled,13,243
42,0.07108924887775467,GPT2-XL,shuffled,14,243
45,0.07172198806938755,GPT2-XL,shuffled,15,243
48,0.06881300355417745,GPT2-XL,shuffled,16,243
51,0.06860998373738088,GPT2-XL,shuffled,17,243
54,0.0704051199752908,GPT2-XL,shuffled,18,243
57,0.069774955996573,GPT2-XL,shuffled,19,243
60,0.07522808462390808,GPT2-XL,shuffled,20,243
63,0.07571770966401982,GPT2-XL,shuffled,21,243
66,0.07426198384209882,GPT2-XL,shuffled,22,243
69,0.07809103663893935,GPT2-XL,shuffled,23,243
72,0.08045995738449631,GPT2-XL,shuffled,24,243
75,0.08479379049327984,GPT2-XL,shuffled,25,243
78,0.08856949233275574,GPT2-XL,shuffled,26,243
81,0.08680435829527766,GPT2-XL,shuffled,27,243
84,0.0869801723512446,GPT2-XL,shuffled,28,243
87,0.08992894042001547,GPT2-XL,shuffled,29,243
90,0.08664681484399193,GPT2-XL,shuffled,30,243
93,0.08889606549990553,GPT2-XL,shuffled,31,243
96,0.09123254239939599,GPT2-XL,shuffled,32,243
99,0.09176330743933432,GPT2-XL,shuffled,33,243
102,0.09214957186649887,GPT2-XL,shuffled,34,243
105,0.09627935398704769,GPT2-XL,shuffled,35,243
108,0.09773503774683283,GPT2-XL,shuffled,36,243
111,0.0999622984783069,GPT2-XL,shuffled,37,243
114,0.10191452597913102,GPT2-XL,shuffled,38,243
117,0.10673726008437438,GPT2-XL,shuffled,39,243
120,0.10798806153671599,GPT2-XL,shuffled,40,243
123,0.11163071123530273,GPT2-XL,shuffled,41,243
126,0.11211740551544659,GPT2-XL,shuffled,42,243
129,0.11240080748950411,GPT2-XL,shuffled,43,243
132,0.11502666678778693,GPT2-XL,shuffled,44,243
135,0.11625136653649999,GPT2-XL,shuffled,45,243
138,0.11720420528002795,GPT2-XL,shuffled,46,243
