,perf,Model,Shuffled,layer_num,Exp
147,0.002279144448519563,GPT2-XL,,0,243
150,0.006898715958553012,GPT2-XL,,1,243
153,0.01004399227252773,GPT2-XL,,2,243
156,0.012244528404386132,GPT2-XL,,3,243
159,0.014034810024484723,GPT2-XL,,4,243
162,0.01474798421852993,GPT2-XL,,5,243
165,0.01316898619219988,GPT2-XL,,6,243
168,0.01577408722349628,GPT2-XL,,7,243
171,0.01696159478327978,GPT2-XL,,8,243
174,0.01634439605026948,GPT2-XL,,9,243
177,0.015259276242752603,GPT2-XL,,10,243
180,0.014645221452180418,GPT2-XL,,11,243
183,0.014872192927004422,GPT2-XL,,12,243
186,0.015829228096637185,GPT2-XL,,13,243
189,0.019087377930072317,GPT2-XL,,14,243
192,0.021564687688616354,GPT2-XL,,15,243
195,0.021564331955681724,GPT2-XL,,16,243
198,0.02033382687585203,GPT2-XL,,17,243
201,0.01858414966970709,GPT2-XL,,18,243
204,0.01726985707966538,GPT2-XL,,19,243
207,0.01793011602602887,GPT2-XL,,20,243
210,0.018524803961976272,GPT2-XL,,21,243
213,0.015169015675263783,GPT2-XL,,22,243
216,0.013079427122670267,GPT2-XL,,23,243
219,0.012151699735098484,GPT2-XL,,24,243
222,0.010441151002129216,GPT2-XL,,25,243
225,0.009750251159195476,GPT2-XL,,26,243
228,0.00931772722691778,GPT2-XL,,27,243
231,0.0088613877844052,GPT2-XL,,28,243
234,0.007720104899012887,GPT2-XL,,29,243
237,0.005617421569709624,GPT2-XL,,30,243
240,0.0038094281630306516,GPT2-XL,,31,243
243,0.001899053392054536,GPT2-XL,,32,243
246,0.001033197271384222,GPT2-XL,,33,243
249,-1.0588665116536677e-05,GPT2-XL,,34,243
252,-0.000705161605884866,GPT2-XL,,35,243
255,-0.0012010304132641072,GPT2-XL,,36,243
258,-0.001592672489087504,GPT2-XL,,37,243
261,-0.001472908747403168,GPT2-XL,,38,243
264,-0.002112823684885339,GPT2-XL,,39,243
267,-0.0030228783005951817,GPT2-XL,,40,243
270,-0.0032781374319744423,GPT2-XL,,41,243
273,-0.0037097784731812706,GPT2-XL,,42,243
276,-0.004246051734022057,GPT2-XL,,43,243
279,-0.00441132744913392,GPT2-XL,,44,243
282,-0.004519252342793228,GPT2-XL,,45,243
285,-0.004895874658294664,GPT2-XL,,46,243
288,-0.0054143260126692265,GPT2-XL,,47,243
291,3.19709488371346e-05,GPT2-XL,,48,243
441,0.007271734056181148,GPT2-XL-mp,,0,243
444,0.004317332296327273,GPT2-XL-mp,,1,243
447,0.005485734812729247,GPT2-XL-mp,,2,243
450,0.006137823628857428,GPT2-XL-mp,,3,243
453,0.0066666300334947476,GPT2-XL-mp,,4,243
456,0.006262002869090958,GPT2-XL-mp,,5,243
459,0.007680336953145223,GPT2-XL-mp,,6,243
462,0.009585160534311242,GPT2-XL-mp,,7,243
465,0.010100983022573437,GPT2-XL-mp,,8,243
468,0.009969839810643545,GPT2-XL-mp,,9,243
471,0.010057945448941378,GPT2-XL-mp,,10,243
474,0.010783294695960205,GPT2-XL-mp,,11,243
477,0.012632040015878783,GPT2-XL-mp,,12,243
480,0.014672541210074464,GPT2-XL-mp,,13,243
483,0.014923321540067641,GPT2-XL-mp,,14,243
486,0.01612437594812541,GPT2-XL-mp,,15,243
489,0.01632683460082239,GPT2-XL-mp,,16,243
492,0.01639573581783857,GPT2-XL-mp,,17,243
495,0.015982312303243717,GPT2-XL-mp,,18,243
498,0.016194517386646422,GPT2-XL-mp,,19,243
501,0.016059280706843076,GPT2-XL-mp,,20,243
504,0.01523988209445031,GPT2-XL-mp,,21,243
507,0.014405366646695944,GPT2-XL-mp,,22,243
510,0.014436860819412237,GPT2-XL-mp,,23,243
513,0.013939827287740418,GPT2-XL-mp,,24,243
516,0.012772368789390373,GPT2-XL-mp,,25,243
519,0.012313271983568012,GPT2-XL-mp,,26,243
522,0.0113553999446565,GPT2-XL-mp,,27,243
525,0.010683437322606409,GPT2-XL-mp,,28,243
528,0.011664399538338697,GPT2-XL-mp,,29,243
531,0.010414433845621579,GPT2-XL-mp,,30,243
534,0.009543323144584915,GPT2-XL-mp,,31,243
537,0.007930741128260822,GPT2-XL-mp,,32,243
540,0.007863223154510433,GPT2-XL-mp,,33,243
543,0.007070302870760233,GPT2-XL-mp,,34,243
546,0.006131989632303369,GPT2-XL-mp,,35,243
549,0.004929763491560708,GPT2-XL-mp,,36,243
552,0.004350548419560614,GPT2-XL-mp,,37,243
555,0.004100013355594377,GPT2-XL-mp,,38,243
558,0.0030067478557182325,GPT2-XL-mp,,39,243
561,0.002692689177330652,GPT2-XL-mp,,40,243
564,0.0014626662931049642,GPT2-XL-mp,,41,243
567,0.0013350024943121,GPT2-XL-mp,,42,243
570,0.0007787747479540289,GPT2-XL-mp,,43,243
573,0.0002538721509245754,GPT2-XL-mp,,44,243
576,-0.0001468414627636029,GPT2-XL-mp,,45,243
579,-0.0005514664975359443,GPT2-XL-mp,,46,243
582,-0.0008271177427008565,GPT2-XL-mp,,47,243
585,0.0021071483920699825,GPT2-XL-mp,,48,243
735,0.024187150840505295,GPT2-XL-sp,,0,243
738,0.017149160669467516,GPT2-XL-sp,,1,243
741,0.02111895826176251,GPT2-XL-sp,,2,243
744,0.022498244235907808,GPT2-XL-sp,,3,243
747,0.02278831310143604,GPT2-XL-sp,,4,243
750,0.02263955570130946,GPT2-XL-sp,,5,243
753,0.024069287640171706,GPT2-XL-sp,,6,243
756,0.026115610303276304,GPT2-XL-sp,,7,243
759,0.026316438002592483,GPT2-XL-sp,,8,243
762,0.02594987454044211,GPT2-XL-sp,,9,243
765,0.02570739102984304,GPT2-XL-sp,,10,243
768,0.02608611466719053,GPT2-XL-sp,,11,243
771,0.027518312151549578,GPT2-XL-sp,,12,243
774,0.028969178244412187,GPT2-XL-sp,,13,243
777,0.02922432383058964,GPT2-XL-sp,,14,243
780,0.030575941747992125,GPT2-XL-sp,,15,243
783,0.030615290555498154,GPT2-XL-sp,,16,243
786,0.030238225932885315,GPT2-XL-sp,,17,243
789,0.029277220705476805,GPT2-XL-sp,,18,243
792,0.02864806283158122,GPT2-XL-sp,,19,243
795,0.02730564675761051,GPT2-XL-sp,,20,243
798,0.026459873657552993,GPT2-XL-sp,,21,243
801,0.02661725085283026,GPT2-XL-sp,,22,243
804,0.026592954516489752,GPT2-XL-sp,,23,243
