,perf,Model,Shuffled,layer_num,Exp
0,0.04798296164490423,GPT2-XL,shuffled,0,243
3,0.3073614061935312,GPT2-XL,shuffled,1,243
6,0.3283166863221853,GPT2-XL,shuffled,2,243
9,0.3134296893092189,GPT2-XL,shuffled,3,243
12,0.31224400041333206,GPT2-XL,shuffled,4,243
15,0.29999177790289777,GPT2-XL,shuffled,5,243
18,0.29717173658091106,GPT2-XL,shuffled,6,243
21,0.28822395209856116,GPT2-XL,shuffled,7,243
24,0.28670547037019817,GPT2-XL,shuffled,8,243
27,0.2794758154765237,GPT2-XL,shuffled,9,243
30,0.2764051386883159,GPT2-XL,shuffled,10,243
33,0.2767443193880865,GPT2-XL,shuffled,11,243
36,0.2795777181009523,GPT2-XL,shuffled,12,243
39,0.270743430291841,GPT2-XL,shuffled,13,243
42,0.2672442980873619,GPT2-XL,shuffled,14,243
45,0.26713613850307305,GPT2-XL,shuffled,15,243
48,0.26229795341502604,GPT2-XL,shuffled,16,243
51,0.26364806432403576,GPT2-XL,shuffled,17,243
54,0.2671823983348804,GPT2-XL,shuffled,18,243
57,0.2657589410958144,GPT2-XL,shuffled,19,243
60,0.27870005963851635,GPT2-XL,shuffled,20,243
63,0.2799922222331552,GPT2-XL,shuffled,21,243
66,0.27863556370536186,GPT2-XL,shuffled,22,243
69,0.2859430415576184,GPT2-XL,shuffled,23,243
72,0.2920081186194909,GPT2-XL,shuffled,24,243
75,0.30099233385657714,GPT2-XL,shuffled,25,243
78,0.3094446204771674,GPT2-XL,shuffled,26,243
81,0.3090580120727499,GPT2-XL,shuffled,27,243
84,0.30681522489111734,GPT2-XL,shuffled,28,243
87,0.3127968845685379,GPT2-XL,shuffled,29,243
90,0.308288331331497,GPT2-XL,shuffled,30,243
93,0.3124733575194692,GPT2-XL,shuffled,31,243
96,0.31720419475312617,GPT2-XL,shuffled,32,243
99,0.31646553500939884,GPT2-XL,shuffled,33,243
102,0.31560596266101953,GPT2-XL,shuffled,34,243
105,0.3204592043598516,GPT2-XL,shuffled,35,243
108,0.322233620870946,GPT2-XL,shuffled,36,243
111,0.32452526296572465,GPT2-XL,shuffled,37,243
114,0.3262498710267237,GPT2-XL,shuffled,38,243
117,0.3331512630855225,GPT2-XL,shuffled,39,243
120,0.33429419692272266,GPT2-XL,shuffled,40,243
123,0.3393667827031417,GPT2-XL,shuffled,41,243
126,0.3396610274561622,GPT2-XL,shuffled,42,243
129,0.33992763584408875,GPT2-XL,shuffled,43,243
132,0.34376608039813655,GPT2-XL,shuffled,44,243
135,0.3456011012990206,GPT2-XL,shuffled,45,243
138,0.34680727839332337,GPT2-XL,shuffled,46,243
141,0.34608331432162487,GPT2-XL,shuffled,47,243
144,0.35806179429095875,GPT2-XL,shuffled,48,243
294,0.17754049141170228,GPT2-XL-mp,shuffled,0,243
297,0.27172432832365867,GPT2-XL-mp,shuffled,1,243
300,0.2882560736929906,GPT2-XL-mp,shuffled,2,243
303,0.2875668607424713,GPT2-XL-mp,shuffled,3,243
306,0.2835869392411656,GPT2-XL-mp,shuffled,4,243
309,0.2792986848073901,GPT2-XL-mp,shuffled,5,243
312,0.2770068393793052,GPT2-XL-mp,shuffled,6,243
315,0.27694958878840686,GPT2-XL-mp,shuffled,7,243
318,0.26922944717972763,GPT2-XL-mp,shuffled,8,243
321,0.26775041383968506,GPT2-XL-mp,shuffled,9,243
324,0.2639241478843533,GPT2-XL-mp,shuffled,10,243
327,0.2624598722586528,GPT2-XL-mp,shuffled,11,243
330,0.265601337173409,GPT2-XL-mp,shuffled,12,243
333,0.2674209278446248,GPT2-XL-mp,shuffled,13,243
336,0.263072271678854,GPT2-XL-mp,shuffled,14,243
339,0.2648980178818966,GPT2-XL-mp,shuffled,15,243
342,0.2651140707376718,GPT2-XL-mp,shuffled,16,243
345,0.2636677964380579,GPT2-XL-mp,shuffled,17,243
348,0.2591253884452442,GPT2-XL-mp,shuffled,18,243
351,0.2590830982316587,GPT2-XL-mp,shuffled,19,243
354,0.2649347425472824,GPT2-XL-mp,shuffled,20,243
357,0.26694041302632404,GPT2-XL-mp,shuffled,21,243
360,0.27387206763900585,GPT2-XL-mp,shuffled,22,243
363,0.28053455445057174,GPT2-XL-mp,shuffled,23,243
366,0.2821709674752925,GPT2-XL-mp,shuffled,24,243
369,0.28443673915133805,GPT2-XL-mp,shuffled,25,243
372,0.28933033609614806,GPT2-XL-mp,shuffled,26,243
375,0.2920683492529704,GPT2-XL-mp,shuffled,27,243
378,0.2930098381063953,GPT2-XL-mp,shuffled,28,243
381,0.2957028158281406,GPT2-XL-mp,shuffled,29,243
384,0.29576742593201644,GPT2-XL-mp,shuffled,30,243
387,0.2982200728843309,GPT2-XL-mp,shuffled,31,243
390,0.30230040099181227,GPT2-XL-mp,shuffled,32,243
393,0.3024742131505636,GPT2-XL-mp,shuffled,33,243
396,0.30489783295591394,GPT2-XL-mp,shuffled,34,243
399,0.3067387370970153,GPT2-XL-mp,shuffled,35,243
402,0.30730159098381743,GPT2-XL-mp,shuffled,36,243
405,0.30984845830331764,GPT2-XL-mp,shuffled,37,243
408,0.3090845278591066,GPT2-XL-mp,shuffled,38,243
411,0.31138535026123465,GPT2-XL-mp,shuffled,39,243
414,0.31268592528101496,GPT2-XL-mp,shuffled,40,243
417,0.31500485387579696,GPT2-XL-mp,shuffled,41,243
420,0.3148541857029779,GPT2-XL-mp,shuffled,42,243
423,0.31667706139638424,GPT2-XL-mp,shuffled,43,243
426,0.31782151266074105,GPT2-XL-mp,shuffled,44,243
429,0.32105741347601996,GPT2-XL-mp,shuffled,45,243
432,0.3204369841991457,GPT2-XL-mp,shuffled,46,243
435,0.3222043277134966,GPT2-XL-mp,shuffled,47,243
438,0.33112808616852313,GPT2-XL-mp,shuffled,48,243
588,0.22467350932264618,GPT2-XL-sp,shuffled,0,243
591,0.2997633115371633,GPT2-XL-sp,shuffled,1,243
594,0.3103110794394505,GPT2-XL-sp,shuffled,2,243
597,0.30807297900662706,GPT2-XL-sp,shuffled,3,243
600,0.29958718214064955,GPT2-XL-sp,shuffled,4,243
603,0.29524217599936636,GPT2-XL-sp,shuffled,5,243
606,0.29104961409084135,GPT2-XL-sp,shuffled,6,243
609,0.29062545215382696,GPT2-XL-sp,shuffled,7,243
612,0.28387797434831735,GPT2-XL-sp,shuffled,8,243
615,0.2826020638091597,GPT2-XL-sp,shuffled,9,243
618,0.27722269506338343,GPT2-XL-sp,shuffled,10,243
621,0.27575449122194184,GPT2-XL-sp,shuffled,11,243
624,0.27794847913695886,GPT2-XL-sp,shuffled,12,243
627,0.2779971843943456,GPT2-XL-sp,shuffled,13,243
630,0.27402731123467167,GPT2-XL-sp,shuffled,14,243
633,0.2756584437459059,GPT2-XL-sp,shuffled,15,243
636,0.27609447780721647,GPT2-XL-sp,shuffled,16,243
639,0.27387334802737845,GPT2-XL-sp,shuffled,17,243
642,0.26958085663914144,GPT2-XL-sp,shuffled,18,243
645,0.26838130177884695,GPT2-XL-sp,shuffled,19,243
648,0.27115051031538984,GPT2-XL-sp,shuffled,20,243
651,0.27262687794150475,GPT2-XL-sp,shuffled,21,243
654,0.28056441530563936,GPT2-XL-sp,shuffled,22,243
657,0.28614529522469456,GPT2-XL-sp,shuffled,23,243
660,0.28689238386070115,GPT2-XL-sp,shuffled,24,243
663,0.28970347133366914,GPT2-XL-sp,shuffled,25,243
666,0.2947733199428234,GPT2-XL-sp,shuffled,26,243
669,0.2973606985991172,GPT2-XL-sp,shuffled,27,243
672,0.2979216171988924,GPT2-XL-sp,shuffled,28,243
675,0.3004958614468634,GPT2-XL-sp,shuffled,29,243
678,0.3016504870351771,GPT2-XL-sp,shuffled,30,243
681,0.3046601778573636,GPT2-XL-sp,shuffled,31,243
684,0.3106978615712314,GPT2-XL-sp,shuffled,32,243
687,0.31193843137181104,GPT2-XL-sp,shuffled,33,243
690,0.3151088328300396,GPT2-XL-sp,shuffled,34,243
693,0.3171409408399013,GPT2-XL-sp,shuffled,35,243
696,0.31801851606636206,GPT2-XL-sp,shuffled,36,243
699,0.3197541866031153,GPT2-XL-sp,shuffled,37,243
702,0.31830137046228557,GPT2-XL-sp,shuffled,38,243
705,0.32043508829160644,GPT2-XL-sp,shuffled,39,243
708,0.321598249883133,GPT2-XL-sp,shuffled,40,243
711,0.3239617225847948,GPT2-XL-sp,shuffled,41,243
714,0.32431304182888127,GPT2-XL-sp,shuffled,42,243
717,0.3259846033033469,GPT2-XL-sp,shuffled,43,243
720,0.3270169033383844,GPT2-XL-sp,shuffled,44,243
723,0.3293131650177639,GPT2-XL-sp,shuffled,45,243
726,0.32872869680768857,GPT2-XL-sp,shuffled,46,243
729,0.3300774321054811,GPT2-XL-sp,shuffled,47,243
