,perf,Model,Shuffled,layer_num,Exp
766,0.140270215609638,GPT2-XL-sp,,10,384
769,0.14290464154203827,GPT2-XL-sp,,11,384
772,0.14469087562946628,GPT2-XL-sp,,12,384
775,0.14592006099367966,GPT2-XL-sp,,13,384
778,0.1469736802241504,GPT2-XL-sp,,14,384
781,0.14850859328332428,GPT2-XL-sp,,15,384
784,0.14862662499869897,GPT2-XL-sp,,16,384
787,0.14793729971088532,GPT2-XL-sp,,17,384
790,0.147567782500253,GPT2-XL-sp,,18,384
793,0.1468704158632136,GPT2-XL-sp,,19,384
796,0.14726665610880044,GPT2-XL-sp,,20,384
799,0.1486607634278401,GPT2-XL-sp,,21,384
802,0.14772439019934816,GPT2-XL-sp,,22,384
805,0.14770112521087256,GPT2-XL-sp,,23,384
808,0.1476954512651919,GPT2-XL-sp,,24,384
811,0.14831240608668683,GPT2-XL-sp,,25,384
814,0.14767527741661945,GPT2-XL-sp,,26,384
817,0.14654210024241973,GPT2-XL-sp,,27,384
820,0.1462747551486418,GPT2-XL-sp,,28,384
823,0.14611018388649677,GPT2-XL-sp,,29,384
826,0.1434206168240134,GPT2-XL-sp,,30,384
829,0.14313033526923313,GPT2-XL-sp,,31,384
832,0.1403719901616046,GPT2-XL-sp,,32,384
835,0.13976437281472945,GPT2-XL-sp,,33,384
838,0.1392267804676961,GPT2-XL-sp,,34,384
841,0.13667121078473998,GPT2-XL-sp,,35,384
844,0.1353437348261184,GPT2-XL-sp,,36,384
847,0.13556326665565435,GPT2-XL-sp,,37,384
850,0.1346760361183691,GPT2-XL-sp,,38,384
853,0.1320854922897281,GPT2-XL-sp,,39,384
856,0.12890741271057082,GPT2-XL-sp,,40,384
859,0.1273945417406055,GPT2-XL-sp,,41,384
862,0.1263332459348537,GPT2-XL-sp,,42,384
865,0.12450430213203816,GPT2-XL-sp,,43,384
868,0.12268206620679445,GPT2-XL-sp,,44,384
871,0.12310204298653359,GPT2-XL-sp,,45,384
874,0.12215926420565992,GPT2-XL-sp,,46,384
877,0.12022313805297119,GPT2-XL-sp,,47,384
880,0.12491509589717181,GPT2-XL-sp,,48,384
