,perf,Model,Shuffled,layer_num,Exp
413,0.09838104820627834,GPT2-XL-mp,shuffled,39,Combined
416,0.10046255687706385,GPT2-XL-mp,shuffled,40,Combined
419,0.10368805974159848,GPT2-XL-mp,shuffled,41,Combined
422,0.10524593072738028,GPT2-XL-mp,shuffled,42,Combined
425,0.10736437815515572,GPT2-XL-mp,shuffled,43,Combined
428,0.10943212117235124,GPT2-XL-mp,shuffled,44,Combined
431,0.11238141719393262,GPT2-XL-mp,shuffled,45,Combined
434,0.1135794038378469,GPT2-XL-mp,shuffled,46,Combined
437,0.11506750470164102,GPT2-XL-mp,shuffled,47,Combined
440,0.11569001914112813,GPT2-XL-mp,shuffled,48,Combined
590,0.05598966174598048,GPT2-XL-sp,shuffled,0,Combined
593,0.10145179190245872,GPT2-XL-sp,shuffled,1,Combined
596,0.10185674824832809,GPT2-XL-sp,shuffled,2,Combined
599,0.10068902837882879,GPT2-XL-sp,shuffled,3,Combined
602,0.09545888896339294,GPT2-XL-sp,shuffled,4,Combined
605,0.09421308094102628,GPT2-XL-sp,shuffled,5,Combined
608,0.08993136628918394,GPT2-XL-sp,shuffled,6,Combined
611,0.08680969915300392,GPT2-XL-sp,shuffled,7,Combined
614,0.08160303644058771,GPT2-XL-sp,shuffled,8,Combined
617,0.07994452223279773,GPT2-XL-sp,shuffled,9,Combined
620,0.07520972019897994,GPT2-XL-sp,shuffled,10,Combined
623,0.07410774411389891,GPT2-XL-sp,shuffled,11,Combined
626,0.07233916074005575,GPT2-XL-sp,shuffled,12,Combined
629,0.07146853261875422,GPT2-XL-sp,shuffled,13,Combined
632,0.06974590793075593,GPT2-XL-sp,shuffled,14,Combined
635,0.06917482441434589,GPT2-XL-sp,shuffled,15,Combined
638,0.06787391909411686,GPT2-XL-sp,shuffled,16,Combined
641,0.06592326088069891,GPT2-XL-sp,shuffled,17,Combined
644,0.06388095053120763,GPT2-XL-sp,shuffled,18,Combined
647,0.06274649745494246,GPT2-XL-sp,shuffled,19,Combined
650,0.06316318474880092,GPT2-XL-sp,shuffled,20,Combined
653,0.06307367982362522,GPT2-XL-sp,shuffled,21,Combined
656,0.0647753943049485,GPT2-XL-sp,shuffled,22,Combined
659,0.06626503555307513,GPT2-XL-sp,shuffled,23,Combined
662,0.06670689930122292,GPT2-XL-sp,shuffled,24,Combined
665,0.06857193091541043,GPT2-XL-sp,shuffled,25,Combined
668,0.07135904100785188,GPT2-XL-sp,shuffled,26,Combined
671,0.07302392804077493,GPT2-XL-sp,shuffled,27,Combined
674,0.07415491606550068,GPT2-XL-sp,shuffled,28,Combined
677,0.07602814637700948,GPT2-XL-sp,shuffled,29,Combined
680,0.07878935137222605,GPT2-XL-sp,shuffled,30,Combined
683,0.08074185960818477,GPT2-XL-sp,shuffled,31,Combined
686,0.08464179952073442,GPT2-XL-sp,shuffled,32,Combined
689,0.08766402242849532,GPT2-XL-sp,shuffled,33,Combined
692,0.08986844250133297,GPT2-XL-sp,shuffled,34,Combined
695,0.09233869136677117,GPT2-XL-sp,shuffled,35,Combined
698,0.09457898939562816,GPT2-XL-sp,shuffled,36,Combined
701,0.0967622329734729,GPT2-XL-sp,shuffled,37,Combined
704,0.09717250487779965,GPT2-XL-sp,shuffled,38,Combined
707,0.10128126934692674,GPT2-XL-sp,shuffled,39,Combined
710,0.10343676515469409,GPT2-XL-sp,shuffled,40,Combined
713,0.10674400392977498,GPT2-XL-sp,shuffled,41,Combined
716,0.10835202864488654,GPT2-XL-sp,shuffled,42,Combined
719,0.11037714068582341,GPT2-XL-sp,shuffled,43,Combined
722,0.1121283623717638,GPT2-XL-sp,shuffled,44,Combined
725,0.11484469330841333,GPT2-XL-sp,shuffled,45,Combined
728,0.11610117663864714,GPT2-XL-sp,shuffled,46,Combined
731,0.11725873701280758,GPT2-XL-sp,shuffled,47,Combined
734,0.11904526469995028,GPT2-XL-sp,shuffled,48,Combined
