,fe,subject,pval,pval_orig,shuffled,network
0,-lt,0,0.35562238725086265,0.14817599468785944,shuffled,language
1,-lt,0,0.3834911208310012,0.22370315381808403,shuffled,language
2,-lt,0,0.3366430735590006,0.09110838147058521,shuffled,language
3,-lt,0,0.1756036157957006,0.014633634649641718,shuffled,language
4,-lt,0,0.3834911208310012,0.21145841629236928,shuffled,language
5,-lt,0,0.4601173986086709,0.3067449324057806,shuffled,language
6,-lt,0,0.9510380815771972,0.7925317346476644,shuffled,language
7,-lt,0,0.3366430735590006,0.11221435785300019,shuffled,language
8,-lt,0,0.9873604051718562,0.9873604051718562,shuffled,language
9,-lt,0,0.3295557218791292,0.05492595364652153,shuffled,language
10,-lt,0,0.5152191729119023,0.3864143796839268,shuffled,language
11,-lt,0,0.9873604051718562,0.9618110432198156,shuffled,language
12,-lt,1,0.977642004429082,0.37322666695725093,shuffled,language
13,-lt,1,0.977642004429082,0.44998814419486266,shuffled,language
14,-lt,1,0.977642004429082,0.9117216620209745,shuffled,language
15,-lt,1,0.977642004429082,0.7736658145611629,shuffled,language
16,-lt,1,0.977642004429082,0.9571024865732425,shuffled,language
17,-lt,1,0.977642004429082,0.9585476582654133,shuffled,language
18,-lt,1,0.977642004429082,0.9489753151703372,shuffled,language
19,-lt,1,0.977642004429082,0.9518214214792261,shuffled,language
20,-lt,1,0.977642004429082,0.3562487987574027,shuffled,language
21,-lt,1,0.977642004429082,0.8538078717049709,shuffled,language
22,-lt,1,0.977642004429082,0.977642004429082,shuffled,language
23,-lt,1,0.977642004429082,0.9215874966523157,shuffled,language
24,-lt,2,0.050028232051771857,0.005002823205177186,shuffled,language
25,-lt,2,0.3713791414233746,0.11141374242701237,shuffled,language
26,-lt,2,0.2439557263636769,0.048791145272735384,shuffled,language
27,-lt,2,0.992272616867651,0.8891740111222461,shuffled,language
28,-lt,2,0.992272616867651,0.9451271099533003,shuffled,language
29,-lt,2,0.992272616867651,0.9175567398713987,shuffled,language
30,-lt,2,0.9823758148072117,0.49118790740360585,shuffled,language
31,-lt,2,0.992272616867651,0.9832824703456347,shuffled,language
32,-lt,2,0.5162445044193567,0.20649780176774268,shuffled,language
33,-lt,2,0.992272616867651,0.992272616867651,shuffled,language
34,-lt,3,0.9976224305595609,0.974459568025953,shuffled,language
35,-lt,3,0.44811023097825475,0.0558081096524218,shuffled,language
36,-lt,3,0.44811023097825475,0.21134687416364906,shuffled,language
37,-lt,3,0.718408760035231,0.4789391733568207,shuffled,language
38,-lt,3,0.9976224305595609,0.9024835995203789,shuffled,language
39,-lt,3,0.44811023097825475,0.14721491591508046,shuffled,language
40,-lt,3,0.5379675971344392,0.3138144316617562,shuffled,language
