,fe,subject,pval,pval_orig,shuffled,network
0,-lt,1,0.01830600820076985,0.00894960400926526,shuffled,language
1,-lt,1,0.5381444916115865,0.5022681921708141,shuffled,language
2,-lt,1,5.2338271695739356e-08,1.9544355746487224e-09,shuffled,language
3,-lt,1,2.082111250737654e-05,4.54065387543798e-06,shuffled,language
4,-lt,1,0.0477912561278189,0.02973678159064287,shuffled,language
5,-lt,1,1.0002502567460257e-06,8.417616802509698e-08,shuffled,language
6,-lt,1,0.0010026874892362385,0.00033422916307874616,shuffled,language
7,-lt,1,0.9716027498650085,0.9716027498650085,shuffled,language
8,-lt,1,0.0018984828928110802,0.0007593931571244321,shuffled,language
9,-lt,1,1.2488280211295588e-05,1.942621366201536e-06,shuffled,language
10,-lt,1,0.006093360008245575,0.0027081600036647,shuffled,language
11,-lt,1,0.19919187139749467,0.17263295521116206,shuffled,language
12,-lt,1,0.067526978194465,0.04351738594754411,shuffled,language
13,-lt,1,0.0003463818095109099,9.236848253624265e-05,shuffled,language
14,-lt,1,0.007221882926917169,0.0033702120325613456,shuffled,language
15,-lt,1,0.0018278911741430527,0.0006905366657873755,shuffled,language
16,-lt,1,0.15481535915725345,0.12729262864040838,shuffled,language
17,-lt,1,0.5509405919814702,0.5264543434489604,shuffled,language
18,-lt,1,1.0002502567460257e-06,1.1113891741622509e-07,shuffled,language
19,-lt,1,0.17214020956894385,0.14536284363599705,shuffled,language
20,-lt,1,0.2585598069202442,0.22983093948466154,shuffled,language
21,-lt,1,0.02635294141603538,0.014640523008908545,shuffled,language
22,-lt,1,0.00046347666277179366,0.00013389325813407371,shuffled,language
23,-lt,1,5.2338271695739356e-08,2.326145408699527e-09,shuffled,language
24,-lt,1,0.0015191556511043632,0.0005401442315037736,shuffled,language
25,-lt,1,1.2904989549737152e-05,2.294220364397716e-06,shuffled,language
26,-lt,1,1.0002502567460257e-06,9.075925628882627e-08,shuffled,language
27,-lt,1,0.962794077930064,0.9413986539760626,shuffled,language
28,-lt,1,2.082111250737654e-05,4.62691389052812e-06,shuffled,language
29,-lt,1,5.364090737323429e-06,7.152120983097905e-07,shuffled,language
30,-lt,1,0.0929500980333745,0.07033511212769102,shuffled,language
31,-lt,1,0.07426030181973613,0.050659664535151805,shuffled,language
32,-lt,1,0.0008464706601918542,0.00026334642761524353,shuffled,language
